epoch,loss,accuracy,time_elapsed
146,0.914325,0.762850,4894
147,0.942303,0.755933,4886
148,0.829533,0.777133,4870
149,1.005554,0.747733,4898
150,0.973838,0.747217,4901
151,0.908669,0.759883,4887
152,0.995405,0.753567,4890
153,0.917171,0.761733,4899
154,0.990673,0.752250,4886
155,0.894625,0.765550,4881
156,0.935372,0.762433,4884
157,0.791189,0.789100,4876
158,0.930402,0.758417,4869
159,0.871374,0.767400,4888
160,0.848212,0.777083,4900
161,0.874870,0.775550,4894
162,1.105391,0.732883,4881
163,0.799641,0.782133,4867
164,0.997604,0.749267,4871
165,0.876388,0.767867,4875
166,0.954488,0.759683,4895
167,0.899640,0.767200,4898
168,0.851172,0.777967,4911
169,0.873541,0.772867,4896
170,1.027309,0.747867,4897
171,0.814566,0.784650,4908
172,0.832040,0.781500,4883
173,0.841013,0.786950,4891
174,0.997807,0.750383,4880
175,1.012552,0.747883,4881
176,0.783728,0.792883,4873
177,0.993211,0.756367,4896
178,0.848431,0.779717,4910
179,1.161730,0.730633,4878
180,1.025382,0.750583,4881
181,0.773518,0.794483,4883
182,0.854293,0.778567,4913
183,0.770657,0.797467,4880
184,0.776646,0.798667,4872
185,0.884892,0.775600,4866
186,1.018715,0.754683,4879
187,0.724191,0.805883,4893
188,0.875350,0.780250,4886
189,0.983211,0.753550,4883
190,0.866683,0.776717,4879
191,0.951818,0.765783,4889
192,0.927939,0.765500,4885
193,1.049981,0.752917,4873
194,0.859951,0.782167,4877
195,0.846346,0.784350,4878
196,0.904475,0.773867,4882
197,0.830312,0.792750,4880
198,0.942709,0.771733,4882
199,0.804653,0.794450,4885
200,0.864949,0.779583,4893
