epoch,loss,accuracy,time_elapsed
126,2.966491,0.732183,5420
127,3.055183,0.742650,5388
128,2.884972,0.731250,5402
129,2.937707,0.732200,5379
130,3.036381,0.727117,5388
131,3.145545,0.727250,5387
132,3.002175,0.742167,5387
133,2.836876,0.750017,5351
134,3.055820,0.729500,5364
135,3.225655,0.714500,5388
136,2.912159,0.738933,5370
137,3.276073,0.723950,5371
138,3.211073,0.734250,5382
139,3.146779,0.731383,5377
140,3.117934,0.739317,5386
141,3.032639,0.735267,5400
142,3.087698,0.732717,5397
143,3.355821,0.725483,5380
144,3.205311,0.726633,5395
145,3.217969,0.730383,5388
146,3.256148,0.722433,5389
147,3.151916,0.729950,5416
148,3.476021,0.719450,5398
149,3.116224,0.733450,5399
150,3.017531,0.733717,5386
151,3.123800,0.737983,5402
152,3.335728,0.725300,5370
153,3.288061,0.728817,5362
154,3.255585,0.729450,5394
155,3.304238,0.725400,5381
156,3.189625,0.732583,5387
157,3.039638,0.742700,5396
158,3.183985,0.737517,5395
159,3.039735,0.737817,5391
160,3.000963,0.733917,5385
161,3.071579,0.727833,5384
162,3.113346,0.729900,5401
163,3.068008,0.737983,5420
164,3.041827,0.745233,5389
165,3.272771,0.735933,5424
166,3.242024,0.728900,5408
167,3.131442,0.734050,5423
168,3.468367,0.731100,5412
169,3.268950,0.741467,5429
170,3.456499,0.732433,5404
171,3.266248,0.744167,5399
172,3.203363,0.747950,5397
173,3.157536,0.743417,5392
174,3.535310,0.726867,5373
175,3.262155,0.741150,5389
176,3.221096,0.743817,5387
177,3.242945,0.734850,5398
178,3.358569,0.731100,5388
179,3.446568,0.739167,5399
180,3.296681,0.741300,5373
181,3.260139,0.737833,5450
182,3.106088,0.745400,5430
183,3.306094,0.732333,5424
184,3.369150,0.731267,5424
185,3.445787,0.729767,5385
186,3.582904,0.726200,5411
187,3.503296,0.725700,5401
188,3.460571,0.722283,5359
189,3.251696,0.740317,5390
190,3.575660,0.731483,5368
191,3.464881,0.740350,5375
192,3.645244,0.729783,5400
193,3.336749,0.742650,5375
194,3.533889,0.734850,5373
195,3.450974,0.735767,5381
196,3.411586,0.741683,5391
197,3.392691,0.740733,5405
198,3.260738,0.743950,5397
199,3.392105,0.741250,5411
200,3.160704,0.751617,5408
